Country,Date,Sum_Confirmed,sum_Recovered,sum_Deaths,sum_Active,Median_CaseFatalityRatio,Median_IncidenceRate,Lat,Lon
United Kingdom,2020-09-20 00:00:00,392847,2229,41848,348770,5.636933988,388.19413295,56.4907,-4.2026
United Kingdom,2020-09-21 00:00:00,396746,2230,41866,352650,5.577828926,388.19413295,56.4907,-4.2026
United Kingdom,2020-09-22 00:00:00,401124,2230,41877,357017,5.5477498415,391.12820165,56.4907,-4.2026
United Kingdom,2020-09-23 00:00:00,406060,2240,41951,361906,5.5237920555,391.12820165,56.4907,-4.2026
United Kingdom,2020-09-24 00:00:00,412247,2249,41951,368047,5.4418276365,391.71471535,56.4907,-4.2026
United Kingdom,2020-09-25 00:00:00,418891,2284,41991,374616,5.385685333,392.0079722,56.4907,-4.2026
United Kingdom,2020-09-26 00:00:00,425769,2305,42025,381439,5.3082557315,392.3012291,56.4907,-4.2026
United Kingdom,2020-09-27 00:00:00,431819,2335,42060,387424,5.2276031365,392.3012291,56.4907,-4.2026
United Kingdom,2020-09-28 00:00:00,437519,2341,42077,393101,5.1798219215,392.3012291,56.4907,-4.2026
United Kingdom,2020-09-29 00:00:00,441575,2354,42090,397131,5.1256983028799,394.64728391008,56.4907,-4.2026
United Kingdom,2020-09-30 00:00:00,448731,2370,42162,404199,5.05074548129641,394.64728391008,56.4907,-4.2026
United Kingdom,2020-10-01 00:00:00,455848,2375,42233,411240,4.96202809160507,394.940540762026,56.4907,-4.2026
United Kingdom,2020-10-02 00:00:00,462777,2385,42292,418100,4.91674340085942,394.940540762026,56.4907,-4.2026
United Kingdom,2020-10-03 00:00:00,469771,2391,42358,425022,4.74445262878982,399.047636909552,56.4907,-4.2026
United Kingdom,2020-10-04 00:00:00,482656,2398,42407,437851,4.62768064577404,399.928907685668,56.4907,-4.2026
United Kingdom,2020-10-05 00:00:00,505621,2405,42440,460776,4.56093560713419,399.928907685668,56.4907,-4.2026
United Kingdom,2020-10-06 00:00:00,518224,2411,42459,473354,4.4739346118117,403.450990349578,56.4907,-4.2026
United Kingdom,2020-10-07 00:00:00,532781,2419,42535,487827,4.39060870603699,406.678315941265,56.4907,-4.2026
United Kingdom,2020-10-08 00:00:00,546954,2427,42605,501922,4.29628236559793,407.558086497104,56.4907,-4.2026
United Kingdom,2020-10-09 00:00:00,564504,2476,42682,519346,4.1878986005228,407.851343349051,56.4907,-4.2026
United Kingdom,2020-10-10 00:00:00,578392,2490,42769,533133,4.05917608815164,407.851343349051,56.4907,-4.2026
United Kingdom,2020-10-11 00:00:00,593567,2497,42850,548220,3.98294528097359,407.851343349051,56.4907,-4.2026
United Kingdom,2020-10-12 00:00:00,606449,2505,42915,561029,3.9041301975265,408.43935727322,56.4907,-4.2026
United Kingdom,2020-10-13 00:00:00,620460,2513,42965,574982,3.85045369518711,419.583117647181,56.4907,-4.2026
United Kingdom,2020-10-14 00:00:00,637710,2537,43108,592065,3.79785393211277,420.756145054967,56.4907,-4.2026
United Kingdom,2020-10-15 00:00:00,657461,2553,43245,611663,3.73461716096369,423.105200311092,56.4907,-4.2026
United Kingdom,2020-10-16 00:00:00,676457,2563,43383,630511,3.70138293079913,423.984970866931,56.4907,-4.2026
United Kingdom,2020-10-17 00:00:00,692114,2567,43519,646028,3.63988367761653,423.984970866931,56.4907,-4.2026
United Kingdom,2020-10-18 00:00:00,708300,2574,43669,662057,3.59619922119922,423.984970866931,56.4907,-4.2026
United Kingdom,2020-10-19 00:00:00,725294,2591,43736,678967,3.53088535818776,423.984970866931,56.4907,-4.2026
United Kingdom,2020-10-20 00:00:00,744124,2615,43816,697693,3.46853054966812,429.556851053911,56.4907,-4.2026
United Kingdom,2020-10-21 00:00:00,765489,2628,44057,718804,3.37974757540849,429.850107905858,56.4907,-4.2026
United Kingdom,2020-10-22 00:00:00,792196,2638,44248,745310,3.31132769977766,431.902905869482,56.4907,-4.2026
United Kingdom,2020-10-23 00:00:00,813453,2654,44437,766362,3.22829227021799,434.542217536999,56.4907,-4.2026
United Kingdom,2020-10-24 00:00:00,834012,2659,44661,786692,3.17079689787591,437.768042908409,56.4907,-4.2026
United Kingdom,2020-10-25 00:00:00,857045,2678,44835,809532,3.1021081677445,437.768042908409,56.4907,-4.2026
United Kingdom,2020-10-26 00:00:00,876842,2687,44986,829169,3.03906018011013,437.768042908409,56.4907,-4.2026
United Kingdom,2020-10-27 00:00:00,897742,2704,45088,849950,2.97811117030168,439.825341532864,56.4907,-4.2026
United Kingdom,2020-10-28 00:00:00,920666,2721,45455,872490,2.93049291264571,448.038033607639,56.4907,-4.2026
United Kingdom,2020-10-29 00:00:00,945380,2775,45765,896840,2.90046973802338,451.263858979049,56.4907,-4.2026
United Kingdom,2020-10-30 00:00:00,968458,2801,46045,919612,2.85601401464674,452.143629534888,56.4907,-4.2026
United Kingdom,2020-10-31 00:00:00,992876,2813,46319,943744,2.79748516582799,454.197927718789,56.4907,-4.2026
United Kingdom,2020-11-01 00:00:00,1014795,2841,46645,965309,2.76104331415335,454.197927718789,56.4907,-4.2026
United Kingdom,2020-11-02 00:00:00,1038056,2843,46807,988406,2.74146318140787,454.197927718789,56.4907,-4.2026
United Kingdom,2020-11-03 00:00:00,1057023,2852,46943,1007228,2.68662432945579,456.546982974914,56.4907,-4.2026
United Kingdom,2020-11-04 00:00:00,1077101,2908,47340,1026853,2.64837158420783,467.10572986526,56.4907,-4.2026
United Kingdom,2020-11-05 00:00:00,1102307,2927,47832,1051548,2.64746336611327,471.799339716678,56.4907,-4.2026
United Kingdom,2020-11-06 00:00:00,1126471,2933,48210,1075328,2.6381911319645,475.318421940034,56.4907,-4.2026
United Kingdom,2020-11-07 00:00:00,1149793,2953,48565,1098275,2.6058711806518,480.010531571176,56.4907,-4.2026
United Kingdom,2020-11-08 00:00:00,1174772,2967,48978,1122827,2.61060356075918,480.010531571176,56.4907,-4.2026
United Kingdom,2020-11-09 00:00:00,1195352,2985,49134,1143233,2.60459916818802,480.010531571176,56.4907,-4.2026
United Kingdom,2020-11-10 00:00:00,1216749,3000,49329,1164420,2.58691010557355,488.808237129566,56.4907,-4.2026
United Kingdom,2020-11-11 00:00:00,1237200,3010,49861,1184329,2.59457019836948,496.142658868779,56.4907,-4.2026
United Kingdom,2020-11-12 00:00:00,1260200,3020,50457,1206723,2.59843058668643,501.424282644367,56.4907,-4.2026
United Kingdom,2020-11-13 00:00:00,1293717,3033,51020,1239664,2.60771869874701,507.585676975795,56.4907,-4.2026
United Kingdom,2020-11-14 00:00:00,1321033,3091,51396,1266546,2.60918120012817,509.468233182633,56.4907,-4.2026
United Kingdom,2020-11-15 00:00:00,1347909,3110,51858,1292941,2.6009200105669,509.468233182633,56.4907,-4.2026
United Kingdom,2020-11-16 00:00:00,1372886,3123,52026,1317737,2.57942285133846,509.468233182633,56.4907,-4.2026
United Kingdom,2020-11-17 00:00:00,1394302,3137,52240,1338924,2.56719606201055,522.078277816325,56.4907,-4.2026
United Kingdom,2020-11-18 00:00:00,1414362,3150,52839,1358372,2.5739847099231,522.078277816325,56.4907,-4.2026
United Kingdom,2020-11-19 00:00:00,1434007,3209,53368,1377430,2.59004010133722,542.885369271175,56.4907,-4.2026
United Kingdom,2020-11-20 00:00:00,1456943,3245,53870,1399828,2.58453139177941,546.111194642585,56.4907,-4.2026
United Kingdom,2020-11-21 00:00:00,1477217,3263,54381,1419573,2.58777563989986,546.404451494531,56.4907,-4.2026
United Kingdom,2020-11-22 00:00:00,1497138,3313,54721,1439104,2.58650012534472,550.51004742178,56.4907,-4.2026
United Kingdom,2020-11-23 00:00:00,1515805,3325,55120,1457360,2.57927030050642,550.51004742178,56.4907,-4.2026
United Kingdom,2020-11-24 00:00:00,1531270,3336,55327,1472607,2.563167713595,550.51004742178,56.4907,-4.2026
United Kingdom,2020-11-25 00:00:00,1542614,3408,55935,1483271,2.57376238033019,559.30775298017,56.4907,-4.2026
United Kingdom,2020-11-26 00:00:00,1560875,3448,56630,1500797,2.57772276155606,566.052660574936,56.4907,-4.2026
United Kingdom,2020-11-27 00:00:00,1578432,3457,57128,1517847,2.56889159251916,566.052660574936,56.4907,-4.2026
United Kingdom,2020-11-28 00:00:00,1593253,3465,57648,1532140,2.56303468812755,586.873897063127,56.4907,-4.2026
